id_control,id_riesgo,descripcion,dominio,estado,evidencia,periodicidad_dias,fecha_ultima_verificacion
C-001,RSC-001,"Acuerdo familiar de exposición pública firmado, con reglas concretas sobre qué no se publica",ORGANIZATIVO,IMPLEMENTADO,EV-2027-001,365,20/02/2027
C-002,RSC-001,"Canal de comunicación de contactos sospechosos accesible a los hijos, sin sanción asociada",ORGANIZATIVO,IMPLEMENTADO,EV-2027-002,365,20/02/2027
C-003,RSC-001,Cuaderno de indicios con revisión semanal conjunta de observaciones físicas y digitales,ORGANIZATIVO,IMPLEMENTADO,EV-2027-003,180,10/04/2027
C-004,RSC-001,Registro nominal de vehículos y personas observadas en el entorno de la finca,FISICO,IMPLEMENTADO,EV-2027-004,180,10/04/2027
C-005,RSC-001,Configuración de privacidad y revisión periódica de las cuentas públicas de los hijos,DIGITAL,IMPLEMENTADO,EV-2027-005,90,15/05/2027
C-006,RSC-002,"Publicación diferida acordada: nada en tiempo real, mínimo 48 horas",ORGANIZATIVO,IMPLEMENTADO,EV-2027-006,365,20/02/2027
C-007,RSC-002,Línea base OSINT y revisión trimestral de la exposición pública de la familia,DIGITAL,IMPLEMENTADO,EV-2027-007,90,15/05/2027
C-008,RSC-002,Regla de discreción en accesos y salidas de la finca para personal e invitados,FISICO,IMPLEMENTADO,EV-2027-008,180,10/04/2027
C-009,RSC-003,"Configuración segura y revisión periódica de dispositivos familiares, con consentimiento",DIGITAL,IMPLEMENTADO,EV-2027-009,90,15/05/2027
C-010,RSC-003,Pauta de custodia física del dispositivo: no se deja desatendido ni se presta,FISICO,IMPLEMENTADO,EV-2027-010,180,10/04/2027
C-011,RSC-004,Acuerdos personales de confianza ACU-001/002 con ejemplos concretos de lo que no sale de la casa,ORGANIZATIVO,IMPLEMENTADO,EV-2027-011,365,20/02/2027
C-012,RSC-004,Canal único y trazable para asuntos de la familia con el círculo histórico,DIGITAL,IMPLEMENTADO,EV-2027-012,365,20/02/2027
C-013,RSC-005,Revisión y acotación de los poderes notariales de 2015 con asesoría legal,ORGANIZATIVO,IMPLEMENTADO,EV-2027-013,365,20/02/2027
C-014,RSC-005,Cuenta corporativa nominal con MFA para todo asunto societario; fin del correo personal,DIGITAL,IMPLEMENTADO,EV-2027-014,90,15/05/2027
C-015,RSC-006,Verificación por segundo canal contra contacto pre-registrado antes de toda orden de pago,ORGANIZATIVO,IMPLEMENTADO,EV-2027-015,180,10/04/2027
C-016,RSC-006,"Lista de contactos verificados de asesores y proveedores, bajo custodia y revisión semestral",DIGITAL,IMPLEMENTADO,EV-2027-016,180,10/04/2027
C-017,RSC-007,Canal cifrado acordado con el despacho de Dublín para todo intercambio patrimonial,DIGITAL,IMPLEMENTADO,EV-2027-017,365,20/02/2027
