id_control,id_riesgo,descripcion,dominio,estado,evidencia,periodicidad_dias,fecha_ultima_verificacion
C-001,RSC-001,"Acuerdo familiar de exposición pública firmado, con reglas concretas sobre qué no se publica",ORGANIZATIVO,PLANIFICADO,,365,
C-002,RSC-001,"Canal de comunicación de contactos sospechosos accesible a los hijos, sin sanción asociada",ORGANIZATIVO,PLANIFICADO,,365,
C-003,RSC-001,Cuaderno de indicios con revisión semanal conjunta de observaciones físicas y digitales,ORGANIZATIVO,PARCIAL,EV-2026-001,180,
C-004,RSC-001,Registro nominal de vehículos y personas observadas en el entorno de la finca,FISICO,PARCIAL,EV-2026-002,180,
C-005,RSC-001,Configuración de privacidad y revisión periódica de las cuentas públicas de los hijos,DIGITAL,PLANIFICADO,,90,
C-006,RSC-002,Publicación diferida acordada: ningún contenido que revele ubicación se publica hasta haber abandonado esa ubicación (DOC-008 §3),ORGANIZATIVO,PLANIFICADO,,365,
C-007,RSC-002,Línea base OSINT y revisión trimestral de la exposición pública de la familia,DIGITAL,PLANIFICADO,,90,
C-008,RSC-002,Regla de discreción en accesos y salidas de la finca para personal e invitados,FISICO,PLANIFICADO,,180,
C-009,RSC-003,"Configuración segura y revisión periódica de dispositivos familiares, con consentimiento",DIGITAL,PLANIFICADO,,90,
C-010,RSC-003,Pauta de custodia física del dispositivo: no se deja desatendido ni se presta,FISICO,PLANIFICADO,,180,
C-011,RSC-004,Acuerdos personales de confianza ACU-001/002 con ejemplos concretos de lo que no sale de la casa,ORGANIZATIVO,PARCIAL,EV-2026-003,365,
C-012,RSC-004,Canal único y trazable para asuntos de la familia con el círculo histórico,DIGITAL,PLANIFICADO,,365,
C-013,RSC-005,Revisión y acotación de los poderes notariales de 2015 con asesoría legal,ORGANIZATIVO,PARCIAL,EV-2026-004,365,
C-014,RSC-005,Cuenta corporativa nominal con MFA para todo asunto societario; fin del correo personal,DIGITAL,PLANIFICADO,,90,
C-015,RSC-006,Verificación por segundo canal contra contacto prerregistrado para órdenes ≥10.000 € y cambios de beneficiario sin umbral; circuito reforzado del principal conforme a DOC-007 §4,ORGANIZATIVO,PARCIAL,EV-2026-005,180,
C-016,RSC-006,"Lista de contactos verificados de asesores y proveedores, bajo custodia y revisión semestral",DIGITAL,PLANIFICADO,,180,
C-017,RSC-007,Canal cifrado acordado con el despacho de Dublín para todo intercambio patrimonial,DIGITAL,PLANIFICADO,,365,
C-018,RSC-010,La voz no autentica: regla escrita y comunicada a banca y asistente,ORGANIZATIVO,PLANIFICADO,,365,
C-019,RSC-014,"Registro de actos ejecutados por delegación, con revisión mensual por la Dirección General",DIGITAL,PLANIFICADO,,180,
C-020,RSC-016,Plantillas y doble comprobación de destinatario para envíos con información Confidencial,ORGANIZATIVO,PLANIFICADO,,180,
C-021,RSC-008,"Anexo contractual con el MSP: MFA obligatorio, cuentas nominales, registro de sesiones 12 meses",DIGITAL,PLANIFICADO,,365,
C-022,RSC-008,Custodia física del armario de comunicaciones y registro de accesos al mismo,FISICO,PLANIFICADO,,180,
C-023,RSC-009,"Segmentación de red: CCTV y domótica fuera de la red de datos, sin exposición a internet",DIGITAL,PLANIFICADO,,90,
C-024,RSC-009,Control de acceso al grabador y a la sala técnica; registro de quién consulta grabaciones,FISICO,PLANIFICADO,,90,
C-025,RSC-011,Zonificación interior de la residencia y regla de acompañamiento por zonas,FISICO,PLANIFICADO,,180,
C-026,RSC-011,"Red separada para invitados y personal, sin acceso al NAS ni a los sistemas de la oficina",DIGITAL,PLANIFICADO,,90,
C-027,RSC-012,"Cifrado y borrado remoto verificados antes de cada salida, con registro de la verificación",DIGITAL,PLANIFICADO,,180,
C-028,RSC-012,Dotación de viaje diferenciada: equipo limpio para destinos de riesgo,FISICO,PLANIFICADO,,180,
C-029,RSC-022,"Ficha de seguridad de destino previa a la reserva: alojamiento, entorno, servicios y contactos locales",ORGANIZATIVO,PLANIFICADO,,180,
C-030,RSC-022,Reconocimiento previo o contacto con servicio local en destinos de riesgo alto,FISICO,PLANIFICADO,,180,
C-031,RSC-022,Restricción de difusión del itinerario: lista cerrada de destinatarios y sin publicación previa,DIGITAL,PLANIFICADO,,90,
C-032,RSC-013,Copias 3-2-1 con una copia fuera de línea y prueba de restauración semestral documentada,DIGITAL,PLANIFICADO,,180,
C-033,RSC-013,Custodia física de la copia fuera de línea en ubicación distinta a la oficina,FISICO,PLANIFICADO,,180,
C-034,RSC-018,Lista de verificación de cierre firmada al final de cada jornada: alarma conectada y aberturas comprobadas,ORGANIZATIVO,PLANIFICADO,,180,
C-035,RSC-018,"Contactos de apertura en aberturas secundarias, integrados en la señal de armado del sistema",FISICO,PLANIFICADO,,90,
C-036,RSC-018,"Supervisión técnica del armado: registro automático de conexión y desconexión, con alerta si no se arma",DIGITAL,PLANIFICADO,,90,
C-037,RSC-018,Rondas con puntos de paso registrados y revisión mensual de cumplimiento,FISICO,PLANIFICADO,,180,
C-038,RSC-019,"Doble validación de toda disposición de efectivo por encima del umbral, con registro previo",ORGANIZATIVO,PLANIFICADO,,180,
C-039,RSC-019,"Trazabilidad del movimiento: albarán o registro firmado en origen y destino, conciliado en 24 horas",ORGANIZATIVO,PLANIFICADO,,180,
C-040,RSC-019,"Protocolo de transporte: portador rotatorio, ruta y horario variables, acompañamiento por encima del umbral",FISICO,PLANIFICADO,,180,
C-041,RSC-019,Clasificación Restringida de la existencia y el calendario de los movimientos; difusión mínima,ORGANIZATIVO,PLANIFICADO,,365,
C-042,RSC-020,"Planificación previa obligatoria de todo trabajo: lista nominal, fechas, horario y alcance",ORGANIZATIVO,PLANIFICADO,,180,
C-043,RSC-020,Acreditación nominal con identificación verificada y acompañamiento en zonas sensibles,FISICO,PLANIFICADO,,90,
C-044,RSC-020,"Registro de entradas y salidas de contratas, conservado y revisado mensualmente",ORGANIZATIVO,PLANIFICADO,,180,
C-045,RSC-021,"Norma de aviso previo de invitados acordada con los hijos, con nombre y hora",ORGANIZATIVO,PLANIFICADO,,365,
C-046,RSC-021,"Zona social delimitada para visitas no verificadas, sin acceso al resto de la residencia",FISICO,PLANIFICADO,,365,
C-047,RSC-021,Registro de visitas en el sistema de acceso y cruce semanal con el cuaderno de indicios,DIGITAL,PLANIFICADO,,180,
C-048,RSC-023,"Inventario documental con ubicación, responsable y plazo de conservación de cada serie",ORGANIZATIVO,PLANIFICADO,,90,
C-049,RSC-023,Custodia en armario ignífugo con llave controlada; retirada del papel de zonas comunes,FISICO,PLANIFICADO,,180,
C-050,RSC-023,Digitalización con clasificación y control de acceso por rol; destrucción certificada del papel redundante,DIGITAL,PLANIFICADO,,90,
C-051,RSC-024,Verificación técnica independiente anual del criterio y la configuración del MSP,ORGANIZATIVO,PLANIFICADO,,365,
C-052,RSC-024,"Línea base de configuración documentada y contrastada, revisada tras cada cambio relevante",DIGITAL,PLANIFICADO,,90,
C-053,RSC-025,Protocolo de puntualidad y aviso: confirmación de posición 15 minutos antes de cada recogida,ORGANIZATIVO,PLANIFICADO,,180,
C-054,RSC-025,"Puntos de espera predefinidos, cubiertos y variables; nunca espera en vía abierta",FISICO,PLANIFICADO,,180,
C-056,RSC-015,Retirada activa de datos personales y patrimoniales de agregadores y registros consultables,DIGITAL,PLANIFICADO,,90,
C-057,RSC-015,"Reducción de la señal física asociable al patrimonio: matrículas, rotulación y accesos identificables",FISICO,PLANIFICADO,,180,
C-058,RSC-005,Custodia física de las escrituras de poder y registro de su entrega y devolución,FISICO,PLANIFICADO,,180,
C-059,RSC-006,Verificación presencial obligatoria para órdenes ≥50.000 €: confirmación cara a cara con el solicitante antes de ejecutar; sin sustitución por canal remoto,FISICO,PLANIFICADO,,180,
C-060,RSC-007,Custodia y destrucción certificada de los soportes en papel derivados del intercambio con Dublín,FISICO,PLANIFICADO,,180,
C-061,RSC-010,"Palabra de control acordada y custodiada en papel, verificable fuera de banda ante una orden por voz",FISICO,PLANIFICADO,,180,
C-062,RSC-010,Bloqueo de órdenes por voz en banca: instrucción permanente firmada ante la entidad,DIGITAL,PLANIFICADO,,365,
C-063,RSC-014,"Custodia física en caja fuerte de las credenciales y firmas del principal, con registro de retirada",FISICO,PLANIFICADO,,180,
C-064,RSC-024,"Inventario físico de equipos y elementos de red de la residencia y la oficina, contrastado anualmente",FISICO,PLANIFICADO,,365,
C-055,RSC-025,Seguimiento de posición del vehículo y aviso automático de desviación sobre el horario previsto,DIGITAL,PLANIFICADO,,90,
